Kecamatan,Produksi Bawang Daun (kuintal) (Kw),Produksi Bawang Merah (kuintal) (Kw),Produksi Bawang Putih (kuintal) (Kw),Produksi Bayam (kuintal) (Kw),Produksi Blewah (kuintal) (Kw),Produksi Buncis (kuintal) (Kw),Produksi Cabai Besar (kuintal) (Kw),Produksi Cabai Rawit (kuintal) (Kw),Produksi Jamur (kilogram) (Kg),Produksi Kacang Merah (kuintal) (Kw),Produksi Kacang Panjang (kuintal) (Kw),Produksi Kangkung (kuintal) (Kw),Produksi Kembang Kol (kuintal) (Kw),Produksi Kentang (kuintal) (Kw),Produksi Ketimun (kuintal) (Kw),Produksi Kubis (kuintal) (Kw),Produksi Labu Siam (kuintal) (Kw),Produksi Lobak (kuintal) (Kw),Produksi Melon (kuintal) (Kw),Produksi Paprika (kuintal) (Kw),Produksi Petsai/Sawi (kuintal) (Kw),Produksi Semangka (kuintal) (Kw),Produksi Stroberi (kuintal) (Kw),Produksi Terung (kuintal) (Kw),Produksi Tomat (kuintal) (Kw),Produksi Wortel (kuintal) (Kw)
Ciemas,,155,,,,,,23650,,,,,,,50,,,,,,,10670,,,100,
Ciracap,,1140,,,,110,220,390,,,,,,,250,,,,,,,10950,,250,325,
Waluran,780,,,,,280,500,2670,,,1620,50,,,961,,100,,,,,1550,,539,862,
Surade,,430,,,,,235,405,,,315,,,,380,,,,,,,1000,,218,165,
Cibitung,,893,,,,,271,341,,,340,25,,,200,,,,20,,,,,,80,
Jampang Kulon,155,697,,,,,569,178,,,280,,,,787,,,,,,,,,120,145,
Cimanggu,1361,,,,,905,2510,,,,752,,,,1159,,,,,,,,,,,
Kali Bunder,140,793,,,,,1311,1392,4528,,,,,,120,,,,,,,,,80,80,
Tegal Buleud,,60,,,,,195,195,,,390,,,,296,,,,300,,,430,,,50,
Cidolog,,,,,,,6187,1692,,,762,,,,1693,,,,,,,,,808,,
Sagaranten,200,,,,,3340,5725,2668,,,1475,,,,2460,,,,,,200,,,1387,1224,
Cidadap,,,,,,1599,34395,2037,,,1810,,,,1580,,,,,,150,,,884,1913,
Curugkembar,,,,,,1088,540,4412,,,864,,,,1040,,,,,,380,,,450,1440,
Pabuaran,,,,,,1045,675,300,,,1943,,,,2800,,,,,,685,,,1300,2731,
Lengkong,,,,,,4375,4790,4460,,1200,4328,,,,7150,,,,,,,,,3240,4320,
Palabuhanratu,,,,150,,,190,350,,,210,80,,,240,,,,,,,,,,,
Simpenan,,1620,,,,,450,230,,,78,,,,300,,,,,,,,,50,40,
Warung Kiara,,,,,,,176,945,,,492,,,,1160,,,,,,,,,50,,
Bantargadung,,,,,,,,,,,,,,,,,,,,,,,,,,
Jampang Tengah,3360,,,,,5590,4566,2198,,6145,17080,,,,36040,,,,,,10395,,,4750,8300,
Purabaya,,,,,,10274,13642,8818,,4165,9287,,,,7324,,,,,,,,,6289,4427,
Cikembar,,,,,,,,190,2500,,375,,,,585,,,,,,455,,,130,125,
Nyalindung,2582,,,,,2915,,,,750,2082,,,,4880,,,,,,5960,,,3700,5910,
Geger Bitung,10680,200,,,,14494,23545,13535,,4430,18534,,9560,,18375,57698,11720,,,,69550,,,9890,42606,
Sukaraja,7011,,,,,2641,4652,2256,,,2579,,11240,,6436,12661,9849,,,,11918,,,5996,8216,15509
Kebonpedes,,,,,,,720,1020,,,1650,,,,300,,,,,,7200,,,500,45,
Cireunghas,,,,,,960,2300,760,,,1971,,,,2555,,,,,,660,,,2085,2250,
Sukalarang,1165,,,,,3400,6830,3930,,,3650,,300,,5445,3480,,,,,3300,,,5180,5540,2110
Sukabumi,4250,,,,,7500,5300,6100,,,4300,,,200,8800,3350,,,,,5690,,,5800,7900,2800
Kadudampit,11621,,,,,3230,5430,1598,,,,,,,4215,900,3024,,,,36747,,,2630,5275,
Cisaat,,,,1900,,5510,1450,2300,,700,6350,1950,,,8600,,,,,,10600,,,5000,6500,
Gunungguruh,100,,,,,,699,1170,,,1227,,,,1870,,,,,,5905,,,,565,
Cibadak,,,,,,1255,965,652,,,1625,,,,2846,,,,,,,,,1192,3400,
Cicantayan,,,,,,,1376,1490,,,,,,,2200,,,,,,,,,,,
Caringin,7270,,,,,2890,12160,5880,,600,3755,150,100,,5040,14350,3400,,,,23200,,,7030,13115,13492
Nagrak,,,,,,1025,839,772,,,1059,,,,1458,,,,,,7383,,,1761,1632,
Ciambar,,,,,,1360,365,690,,,1400,,,,1960,,200,,,,2100,,,1028,1300,
Cicurug,,,,,,5060,2680,2480,,,5550,,,,5080,980,,,,,2110,,,80,3627,300
Cidahu,3030,90,,,,4910,455,295,,,3300,100,,,6920,1350,,,,,9250,,,1500,2500,
Parakan Salak,,,,,,,505,447,,,3775,,,,7355,,,,,,5496,,,2083,1457,
Parung Kuda,,,,,,,,,120000,,2400,,,,8000,,,,,,5340,,,,,
Bojong Genteng,,,,,,,,,,,3535,,,,7653,,,,,,5280,,,1451,602,
Kalapa Nunggal,3600,,,,,3500,1504,270,,,5700,,,,8400,,,,,,,,,900,3200,
Cikidang,,,,,,,,1017,,,1395,,,,1970,,,,,,,,,,400,
Cisolok,,,,,,,470,30,,,110,,,,90,,,,,,,,,85,85,
Cikakak,,,,,,,548,,,,528,,,,435,,,,,,,,,,,
Kabandungan,,,,,,1989,3927,1127,,,4395,,,,9135,,,,,,5450,,,3585,1994,
Sukabumi,57305,6078,,2050,,91245,153867,105340,127028,17990,123271,2355,21200,200,196593,94769,28293,,320,,235404,24600,,82021,144446,34211
